anio;provincia_id;provincia_nombre;departamento_id;departamento_nombre;localidad_id;localidad_nombre;superficie_ha;﻿pais_id;pais_productor;provincia_id_1;provincia_productora;departamento_id_1;departamento_productor;localidad_productora;año_cosecha;quintales_producidos;rendimiento_kg_ha
2012;50;Mendoza     ;50105;San Rafael        ;50105010;Barrio Campos El Toled;21.81;32;Argentina;50;Mendoza     ;105;San Rafael            ;Barrio Campos El Toledan;2012;1076;49,3351673544
2012;50;Mendoza     ;50105;San Rafael        ;50105060;Cuadro Benegas        ;859.31;32;Argentina;50;Mendoza     ;105;San Rafael            ;Cuadro Benegas          ;2012;53753.14;62,5538397086
2012;50;Mendoza     ;50105;San Rafael        ;50105100;Goudge                ;1164.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;Goudge                  ;2012;86421.09;74,2200551362
2012;50;Mendoza     ;50105;San Rafael        ;50105110;Jaime Prats           ;701.38;32;Argentina;50;Mendoza     ;105;San Rafael            ;Jaime Prats             ;2012;55274.48;78,808178163
2012;50;Mendoza     ;50105;San Rafael        ;50105120;La Llave Nueva        ;78.47;32;Argentina;50;Mendoza     ;105;San Rafael            ;La Llave Nueva          ;2012;2512.9;32,0237033261
2012;50;Mendoza     ;50105;San Rafael        ;50105130;Las Malvinas          ;30.98;32;Argentina;50;Mendoza     ;105;San Rafael            ;Las Malvinas            ;2012;752;24,2737249839
2012;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.01;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2012;7345.34;53,2232446924
2012;50;Mendoza     ;50105;San Rafael        ;50105220;Veinticinco De Mayo   ;27.9;32;Argentina;50;Mendoza     ;105;San Rafael            ;Veinticinco De Mayo     ;2012;2064.63;74,0010752688
2012;50;Mendoza     ;50105;San Rafael        ;50105230;Villa Atuel           ;877.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;Villa Atuel             ;2012;56542.54;64,4513672788
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;1501.6;10,264543031
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;237656.61;1624,5581379452
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;1835.2;12,5449449723
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;41279.3;282,1744480142
